,filename,Rating_Valence,Rating_Arousal,F0,F1-Mean,F2-Mean,F3-Mean,F1 - Bandwidth,F2 - Bandwidth,F3 - Bandwidth+,Intensity,Intensity - SD,Spectral Centroid,Spectral Centroid - SD
988,104,2.9375,3.0,79.8456842,1045.69,2004.05,2861.63,394.75,664.02,598.06,70.69,11.88,939.657636,2363.56685
989,812,2.13333333,2.76470588,87.4691425,901.91,2387.45,3078.18,324.77,513.65,507.89,70.3,10.32,1170.97329,2322.33587
990,463,3.61538462,2.05555556,81.3551981,485.38,1352.81,2752.08,200.11,439.97,136.86,70.47,9.41,340.794515,339.568201
991,46,2.73333333,3.75,83.9483895,946.39,1942.38,2771.27,260.26,503.4,343.61,70.28,12.36,940.505666,1867.91749
992,702,2.33333333,3.94117647,84.0876039,1058.6,2096.83,2907.03,417.3,615.74,461.09,70.33,9.41,1418.91852,2471.96416
993,933,2.2,3.29411765,84.0212583,849.34,2003.01,2820.57,222.76,345.66,350.22,70.37,12.66,378.441604,594.295422
994,883,2.71428571,2.76470588,83.3140096,593.09,1733.77,2770.64,180.21,314.66,477.84,70.4,8.96,331.974144,314.405329
995,935,2.86666667,2.52941176,82.8360604,850.04,1949.36,2776.98,241.96,409.75,233.64,70.38,10.71,348.573836,696.493861
996,560,2.33333333,3.11764706,85.2222622,1011.49,1908.6,2712.79,404.05,396.16,233.53,70.54,13.55,1166.74045,1922.85214
997,882,3.8,2.30769231,82.512169,635.26,1539.03,2630.7,244.77,245.25,259.91,70.54,9.1,350.380585,404.331912
998,613,2.05555556,3.29411765,90.7466922,932.33,1791.4,2633.46,312.83,478.42,217.43,70.38,13.3,292.434425,406.974713
999,1098,2.83333333,3.69230769,95.8678898,980.05,2110.91,2785.88,402.66,619.25,533.34,70.53,9.5,1223.49937,2604.39246
1000,1071,2.66666667,3.88235294,86.0448534,1019.2,2119.0,2819.28,395.2,352.96,435.77,70.46,10.18,485.884392,914.643014
1001,340,3.64285714,2.44444444,84.9286527,734.75,2205.8,3090.24,202.57,654.36,347.36,70.75,12.21,277.942716,733.655771
1002,270,2.83333333,2.375,85.2161724,695.98,1613.64,2802.34,202.73,314.09,282.92,70.53,10.38,308.176052,452.336815
1003,187,3.22222222,3.30769231,81.6964978,693.62,1746.11,2745.82,363.07,566.39,418.23,70.41,10.26,385.032222,1096.35829
1004,952,2.53333333,2.58823529,85.3978963,689.84,1695.28,2819.94,268.7,526.69,499.11,70.38,9.94,344.232291,973.230247
1005,711,2.61111111,2.52941176,79.6436542,632.19,1701.51,2783.66,341.07,405.85,401.19,70.39,7.51,445.489219,617.056224
1006,424,2.94117647,2.76923077,81.3203398,704.54,1934.39,2669.1,370.82,422.94,651.27,70.51,10.43,446.01559,618.482556
1007,622,3.33333333,2.92307692,81.9658737,821.65,1760.28,2640.31,230.84,372.51,169.09,70.53,10.32,546.506041,549.638428
1008,562,3.5,3.22222222,92.2703299,971.27,1924.91,2881.72,252.54,474.74,458.79,70.4,10.68,744.87927,1326.53838
1009,29,3.07692308,3.16666667,82.6326666,875.56,1700.17,2634.23,294.85,184.68,173.88,70.48,10.86,1281.86526,2078.10802
1010,650,3.08333333,2.21428571,78.9200615,730.36,1529.78,2534.61,262.24,157.54,195.2,70.51,9.15,717.18271,545.775818
1011,1020,2.71428571,3.23529412,88.6944434,699.08,1942.03,2861.17,274.35,449.74,434.02,70.42,11.38,1187.53549,2621.42262
1012,95,2.53333333,3.11764706,84.8985403,885.2,2103.21,2866.39,256.62,372.98,463.96,70.4,11.3,935.053148,2011.16928
1013,513,1.94444444,3.52941176,87.011289,878.5,1981.61,2986.26,296.34,534.52,466.69,70.36,9.76,858.738041,1627.95765
